Target number,Number of guesses
1000,6
1001,5
1002,6
1003,6
1004,6
1005,6
1006,5
1007,6
1008,6
1009,7
1010,5
1011,6
1012,4
1013,5
1014,5
1015,4
1016,5
1017,5
1018,5
1019,7
1020,6
1021,4
1022,3
1023,5
1024,4
1025,3
1026,5
1027,5
1028,6
1029,6
1030,6
1031,5
1032,5
1033,6
1034,3
1035,6
1036,6
1037,6
1038,6
1039,7
1040,6
1041,5
1042,5
1043,5
1044,6
1045,5
1046,6
1047,4
1048,6
1049,7
1050,6
1051,5
1052,4
1053,6
1054,5
1055,7
1056,5
1057,5
1058,5
1059,6
1060,7
1061,6
1062,5
1063,6
1064,5
1065,4
1066,5
1067,6
1068,6
1069,5
1070,6
1071,5
1072,6
1073,6
1074,5
1075,6
1076,5
1077,6
1078,5
1079,7
1080,6
1081,6
1082,6
1083,6
1084,6
1085,6
1086,6
1087,6
1088,7
1089,6
1090,6
1091,6
1092,6
1093,6
1094,7
1095,6
1096,7
1097,7
1098,6
1099,7
1100,5
1101,6
1102,3
1103,4
1104,5
1105,4
1106,4
1107,5
1108,6
1109,6
1110,4
1111,5
1112,4
1113,4
1114,3
1115,5
1116,5
1117,6
1118,5
1119,6
1120,3
1121,4
1122,1
1123,5
1124,5
1125,5
1126,5
1127,5
1128,5
1129,6
1130,4
1131,4
1132,5
1133,5
1134,3
1135,5
1136,6
1137,6
1138,6
1139,6
1140,5
1141,4
1142,5
1143,3
1144,4
1145,5
1146,6
1147,5
1148,5
1149,6
1150,4
1151,5
1152,4
1153,5
1154,5
1155,6
1156,5
1157,5
1158,6
1159,6
1160,5
1161,5
1162,5
1163,5
1164,5
1165,5
1166,6
1167,6
1168,5
1169,6
1170,6
1171,6
1172,5
1173,6
1174,5
1175,5
1176,5
1177,5
1178,5
1179,5
1180,6
1181,5
1182,5
1183,5
1184,5
1185,6
1186,6
1187,6
1188,6
1189,5
1190,6
1191,6
1192,5
1193,6
1194,5
1195,6
1196,6
1197,6
1198,6
1199,6
